index,name,elf_va,size,type,binding,section_index
121,__bss_start,0x0000f19c,0,0,1,65521
122,XpsbBOFenceUserList,0x0000b290,257,2,1,11
123,Xpsb_sgx_initialize,0x00003820,207,2,1,11
124,XpsbBOUnmap,0x0000bd10,130,2,1,11
125,XpsbFlush2D,0x00009cd0,661,2,1,11
126,_end,0x0000f1bc,0,0,1,65521
127,XpsbFlushParamContext,0x00007c90,391,2,1,11
128,Xpsb_emit_use_relocation,0x00008d90,329,2,1,11
129,XpsbInitBufMgr,0x0000a890,5,2,1,11
130,XpsbSetUSERegRelocation,0x000090b0,287,2,1,11
131,XpsbGenBuffers,0x0000ae70,178,2,1,11
132,Xpsb_ta_mem_save,0x00003d60,7,2,1,11
133,bmError,0x0000b120,70,2,1,11
134,XpsbBOGetSubData,0x0000b8c0,233,2,1,11
135,XpsbThread,0x000030f0,855,2,1,11
136,Xpsb_scene_info,0x00003a40,673,2,1,11
137,XpsbWriteUnlockKernelBO,0x0000a820,5,2,1,11
138,XpsbSetBeBoundingBox,0x00007e90,32,2,1,11
139,Xpsb_closed_kick_ta,0x00004f10,291,2,1,11
140,Xpsb_emit_pixel_shader,0x000082c0,2755,2,1,11
141,XpsbEntityIndex,0x0000f194,4,1,1,21
142,XpsbDeleteBuffers,0x0000ae30,63,2,1,11
143,Xpsb_pds_get_num_constants,0x00007470,79,2,1,11
144,Xpsb_scene_switch_fire,0x00004550,1433,2,1,11
145,XpsbFenceUnReference,0x0000b0d0,78,2,1,11
146,Xpsb_oom_abort,0x00003cf0,110,2,1,11
147,XpsbFenceSignaled,0x0000bea0,118,2,1,11
148,gsShareData,0x0000f1b0,8,1,1,22
149,XpsbResetParamContext,0x000074c0,138,2,1,11
150,XpsbWriteLockKernelBO,0x0000bf90,53,2,1,11
151,XpsbBOFreeList,0x0000abd0,59,2,1,11
152,XpsbInit3DBuffer,0x00009550,136,2,1,11
153,XpsbFlush3D,0x00009f70,1765,2,1,11
154,Xpsb_closed_kick_render,0x00005040,289,2,1,11
155,XpsbSetOffsetDRMBORelocation,0x000093d0,382,2,1,11
156,XpsbBOAddDRMListItem,0x0000b3a0,111,2,1,11
157,psb3DCompositeQuad,0x00006430,188,2,1,11
158,XpsbFlush3DVideoBlit,0x00009a10,701,2,1,11
159,XpsbBOSetReferenced,0x0000b7b0,272,2,1,11
160,XpsbHotPlugThread,0x00003450,954,2,1,11
161,XpsbPoolTakeDown,0x0000a8c0,17,2,1,11
162,XpsbBOCreateList,0x0000b6c0,233,2,1,11
